id,label
TEST_102,훼손
TEST_103,터짐
TEST_104,오타공
TEST_105,오염
TEST_106,가구수정
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,곰팡이
TEST_111,훼손
TEST_112,훼손
TEST_113,훼손
TEST_114,훼손
TEST_115,훼손
TEST_116,훼손
TEST_117,훼손
TEST_118,오염
TEST_119,곰팡이
TEST_120,훼손
TEST_121,들뜸
TEST_122,훼손
TEST_123,석고수정
TEST_124,훼손
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,곰팡이
TEST_130,꼬임
TEST_131,훼손
TEST_132,꼬임
TEST_133,오염
TEST_134,훼손
TEST_135,오염
TEST_136,훼손
TEST_137,훼손
TEST_138,터짐
TEST_139,훼손
TEST_140,몰딩수정
TEST_141,훼손
TEST_142,훼손
TEST_143,오염
TEST_144,훼손
TEST_145,훼손
TEST_146,곰팡이
TEST_147,훼손
TEST_148,훼손
TEST_149,꼬임
TEST_150,훼손
TEST_151,몰딩수정
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,훼손
TEST_156,오염
TEST_157,훼손
TEST_158,훼손
TEST_159,훼손
TEST_160,오염
TEST_161,훼손
TEST_162,훼손
TEST_163,오염
TEST_164,훼손
TEST_165,훼손
TEST_166,훼손
TEST_167,오염
TEST_168,훼손
TEST_169,훼손
TEST_170,훼손
TEST_171,훼손
TEST_172,훼손
TEST_173,오염
TEST_174,오염
TEST_175,꼬임
TEST_176,오염
TEST_177,석고수정
TEST_178,훼손
TEST_179,훼손
TEST_180,훼손
TEST_181,오염
TEST_182,오염
TEST_183,오염
TEST_184,오염
TEST_185,훼손
TEST_186,꼬임
TEST_187,훼손
TEST_188,꼬임
TEST_189,꼬임
TEST_190,꼬임
TEST_191,훼손
TEST_192,훼손
TEST_193,훼손
TEST_194,훼손
TEST_195,곰팡이
TEST_196,훼손
TEST_197,오염
TEST_198,훼손
TEST_199,몰딩수정
TEST_200,훼손
TEST_201,꼬임
TEST_202,오염
TEST_203,훼손
TEST_204,"창틀,문틀수정"
TEST_205,꼬임
TEST_206,걸레받이수정
TEST_207,훼손
TEST_208,면불량
TEST_209,훼손
TEST_210,꼬임
TEST_211,훼손
TEST_212,훼손
TEST_213,오염
TEST_214,훼손
TEST_215,훼손
TEST_216,훼손
TEST_217,훼손
TEST_218,오염
TEST_219,훼손
TEST_220,오염
TEST_221,훼손
TEST_222,면불량
TEST_223,오염
TEST_224,훼손
TEST_225,오염
TEST_226,오염
TEST_227,면불량
TEST_228,터짐
TEST_229,훼손
TEST_230,훼손
TEST_231,훼손
TEST_232,오염
TEST_233,오염
TEST_234,오염
TEST_235,훼손
TEST_236,꼬임
TEST_237,터짐
TEST_238,오염
TEST_239,오염
TEST_240,오염
TEST_241,훼손
TEST_242,터짐
TEST_243,곰팡이
TEST_244,터짐
TEST_245,훼손
TEST_246,오염
TEST_247,훼손
TEST_248,훼손
TEST_249,훼손
TEST_250,꼬임
TEST_251,오타공
TEST_252,훼손
TEST_253,훼손
TEST_254,걸레받이수정
TEST_255,훼손
TEST_256,녹오염
TEST_257,몰딩수정
TEST_258,훼손
TEST_259,훼손
TEST_260,터짐
TEST_261,훼손
TEST_262,훼손
TEST_263,오염
TEST_264,훼손
TEST_265,몰딩수정
TEST_266,면불량
TEST_267,꼬임
TEST_268,오염
TEST_269,훼손
TEST_270,석고수정
TEST_271,터짐
TEST_272,오염
TEST_273,훼손
TEST_274,오타공
TEST_275,터짐
TEST_276,꼬임
TEST_277,꼬임
TEST_278,오염
TEST_279,훼손
TEST_280,훼손
TEST_281,오염
TEST_282,녹오염
TEST_283,오염
TEST_284,오염
TEST_285,곰팡이
TEST_286,훼손
TEST_287,오염
TEST_288,훼손
TEST_289,훼손
TEST_290,오염
TEST_291,훼손
TEST_292,훼손
TEST_293,훼손
TEST_294,곰팡이
TEST_295,훼손
TEST_296,훼손
TEST_297,훼손
TEST_298,훼손
TEST_299,오염
TEST_300,훼손
TEST_301,훼손
TEST_302,곰팡이
TEST_303,훼손
TEST_304,몰딩수정
TEST_305,터짐
TEST_306,오타공
TEST_307,터짐
TEST_308,훼손
TEST_309,오염
TEST_310,석고수정
TEST_311,피스
TEST_312,훼손
TEST_313,훼손
TEST_314,훼손
TEST_315,훼손
TEST_316,훼손
TEST_317,훼손
TEST_318,훼손
TEST_319,꼬임
TEST_320,걸레받이수정
TEST_321,곰팡이
TEST_322,터짐
TEST_323,훼손
TEST_324,곰팡이
TEST_325,면불량
TEST_326,오염
TEST_327,터짐
TEST_328,훼손
TEST_329,걸레받이수정
TEST_330,훼손
TEST_331,훼손
TEST_332,오염
TEST_333,훼손
TEST_334,훼손
TEST_335,훼손
TEST_336,훼손
TEST_337,훼손
TEST_338,오염
TEST_339,오염
TEST_340,오타공
TEST_341,훼손
TEST_342,훼손
TEST_343,피스
TEST_344,오염
TEST_345,오염
TEST_346,터짐
TEST_347,오염
TEST_348,훼손
TEST_349,가구수정
TEST_350,훼손
TEST_351,면불량
TEST_352,훼손
TEST_353,터짐
TEST_354,오염
TEST_355,오염
TEST_356,훼손
TEST_357,훼손
TEST_358,걸레받이수정
TEST_359,훼손
TEST_360,오염
TEST_361,오염
TEST_362,걸레받이수정
TEST_363,훼손
TEST_364,오염
TEST_365,오염
TEST_366,훼손
TEST_367,훼손
TEST_368,훼손
TEST_369,오타공
TEST_370,피스
TEST_371,터짐
TEST_372,훼손
TEST_373,훼손
TEST_374,석고수정
TEST_375,오염
TEST_376,훼손
TEST_377,터짐
TEST_378,훼손
TEST_379,오염
TEST_380,오염
TEST_381,훼손
TEST_382,훼손
TEST_383,훼손
TEST_384,오염
TEST_385,오염
TEST_386,오염
TEST_387,면불량
TEST_388,훼손
TEST_389,훼손
TEST_390,오염
TEST_391,오염
TEST_392,면불량
TEST_393,오염
TEST_394,오염
TEST_395,오염
TEST_396,오염
TEST_397,터짐
TEST_398,훼손
TEST_399,오염
TEST_400,훼손
TEST_401,터짐
TEST_402,훼손
TEST_403,훼손
TEST_404,꼬임
TEST_405,훼손
TEST_406,오염
TEST_407,훼손
TEST_408,훼손
TEST_409,석고수정
TEST_410,훼손
TEST_411,훼손
TEST_412,훼손
TEST_413,곰팡이
TEST_414,오염
TEST_415,오염
TEST_416,훼손
TEST_417,오염
TEST_418,몰딩수정
TEST_419,훼손
TEST_420,훼손
TEST_421,훼손
TEST_422,몰딩수정
TEST_423,오염
TEST_424,오염
TEST_425,훼손
TEST_426,녹오염
TEST_427,오염
TEST_428,들뜸
TEST_429,훼손
TEST_430,훼손
TEST_431,훼손
TEST_432,석고수정
TEST_433,훼손
TEST_434,피스
TEST_435,가구수정
TEST_436,피스
TEST_437,녹오염
TEST_438,꼬임
TEST_439,오염
TEST_440,터짐
TEST_441,오염
TEST_442,오염
TEST_443,걸레받이수정
TEST_444,훼손
TEST_445,터짐
TEST_446,터짐
TEST_447,훼손
TEST_448,훼손
TEST_449,오염
TEST_450,훼손
TEST_451,오염
TEST_452,오염
TEST_453,걸레받이수정
TEST_454,훼손
TEST_455,들뜸
TEST_456,오염
TEST_457,곰팡이
TEST_458,훼손
TEST_459,훼손
TEST_460,훼손
TEST_461,오염
TEST_462,훼손
TEST_463,오타공
TEST_464,훼손
TEST_465,훼손
TEST_466,피스
TEST_467,곰팡이
TEST_468,곰팡이
TEST_469,훼손
TEST_470,곰팡이
TEST_471,훼손
TEST_472,곰팡이
TEST_473,오염
TEST_474,오염
TEST_475,오타공
TEST_476,훼손
TEST_477,훼손
TEST_478,터짐
TEST_479,터짐
TEST_480,훼손
TEST_481,꼬임
TEST_482,오염
TEST_483,꼬임
TEST_484,몰딩수정
TEST_485,훼손
TEST_486,훼손
TEST_487,오염
TEST_488,곰팡이
TEST_489,오염
TEST_490,"창틀,문틀수정"
TEST_491,오염
TEST_492,오염
TEST_493,훼손
TEST_494,가구수정
TEST_495,면불량
TEST_496,훼손
TEST_497,꼬임
TEST_498,오염
TEST_499,오염
TEST_500,훼손
TEST_501,곰팡이
TEST_502,오염
TEST_503,훼손
TEST_504,훼손
TEST_505,걸레받이수정
TEST_506,곰팡이
TEST_507,몰딩수정
TEST_508,오염
TEST_509,훼손
TEST_510,훼손
TEST_511,훼손
TEST_512,훼손
TEST_513,훼손
TEST_514,꼬임
TEST_515,오염
TEST_516,훼손
TEST_517,오염
TEST_518,오염
TEST_519,오타공
TEST_520,훼손
TEST_521,터짐
TEST_522,가구수정
TEST_523,꼬임
TEST_524,오염
TEST_525,면불량
TEST_526,훼손
TEST_527,훼손
TEST_528,오염
TEST_529,면불량
TEST_530,훼손
TEST_531,오염
TEST_532,꼬임
TEST_533,훼손
TEST_534,오염
TEST_535,면불량
TEST_536,오염
TEST_537,오염
TEST_538,석고수정
TEST_539,훼손
TEST_540,오염
TEST_541,터짐
TEST_542,훼손
TEST_543,훼손
TEST_544,몰딩수정
TEST_545,훼손
TEST_546,곰팡이
TEST_547,오염
TEST_548,오염
TEST_549,몰딩수정
TEST_550,오염
TEST_551,훼손
TEST_552,훼손
TEST_553,오염
TEST_554,훼손
TEST_555,들뜸
TEST_556,훼손
TEST_557,훼손
TEST_558,훼손
TEST_559,훼손
TEST_560,석고수정
TEST_561,석고수정
TEST_562,훼손
TEST_563,오염
TEST_564,터짐
TEST_565,오염
TEST_566,훼손
TEST_567,훼손
TEST_568,훼손
TEST_569,터짐
TEST_570,면불량
TEST_571,오염
TEST_572,훼손
TEST_573,들뜸
TEST_574,오염
TEST_575,터짐
TEST_576,훼손
TEST_577,곰팡이
TEST_578,훼손
TEST_579,오염
TEST_580,훼손
TEST_581,오염
TEST_582,훼손
TEST_583,몰딩수정
TEST_584,훼손
TEST_585,훼손
TEST_586,오염
TEST_587,훼손
TEST_588,오염
TEST_589,오염
TEST_590,훼손
TEST_591,오염
TEST_592,훼손
TEST_593,오염
TEST_594,오타공
TEST_595,오염
TEST_596,훼손
TEST_597,훼손
TEST_598,석고수정
TEST_599,몰딩수정
TEST_600,훼손
TEST_601,오염
TEST_602,오염
TEST_603,훼손
TEST_604,가구수정
TEST_605,오염
TEST_606,오염
TEST_607,훼손
TEST_608,오염
TEST_609,피스
TEST_610,훼손
TEST_611,오염
TEST_612,훼손
TEST_613,훼손
TEST_614,오타공
TEST_615,오염
TEST_616,오타공
TEST_617,훼손
TEST_618,오염
TEST_619,걸레받이수정
TEST_620,오염
TEST_621,훼손
TEST_622,오염
TEST_623,훼손
TEST_624,훼손
TEST_625,훼손
TEST_626,오염
TEST_627,오염
TEST_628,오염
TEST_629,걸레받이수정
TEST_630,훼손
TEST_631,꼬임
TEST_632,훼손
TEST_633,훼손
TEST_634,훼손
TEST_635,훼손
TEST_636,훼손
TEST_637,훼손
TEST_638,훼손
TEST_639,면불량
TEST_640,몰딩수정
TEST_641,걸레받이수정
TEST_642,훼손
TEST_643,들뜸
TEST_644,훼손
TEST_645,걸레받이수정
TEST_646,훼손
TEST_647,터짐
TEST_648,훼손
TEST_649,터짐
TEST_650,오염
TEST_651,훼손
TEST_652,훼손
TEST_653,오염
TEST_654,훼손
TEST_655,오염
TEST_656,훼손
TEST_657,훼손
TEST_658,오타공
TEST_659,오염
TEST_660,오염
TEST_661,오염
TEST_662,훼손
TEST_663,훼손
TEST_664,훼손
TEST_665,훼손
TEST_666,꼬임
TEST_667,훼손
TEST_668,오염
TEST_669,훼손
TEST_670,훼손
TEST_671,훼손
TEST_672,오염
TEST_673,오염
TEST_674,걸레받이수정
TEST_675,석고수정
TEST_676,석고수정
TEST_677,훼손
TEST_678,훼손
TEST_679,훼손
TEST_680,훼손
TEST_681,석고수정
TEST_682,오염
TEST_683,꼬임
TEST_684,훼손
TEST_685,터짐
TEST_686,오염
TEST_687,훼손
TEST_688,훼손
TEST_689,훼손
TEST_690,오염
TEST_691,걸레받이수정
TEST_692,훼손
TEST_693,훼손
TEST_694,오염
TEST_695,터짐
TEST_696,터짐
TEST_697,훼손
TEST_698,피스
TEST_699,오염
TEST_700,훼손
TEST_701,오염
TEST_702,곰팡이
TEST_703,훼손
TEST_704,훼손
TEST_705,오염
TEST_706,훼손
TEST_707,오염
TEST_708,피스
TEST_709,오염
TEST_710,훼손
TEST_711,오염
TEST_712,훼손
TEST_713,훼손
TEST_714,훼손
TEST_715,훼손
TEST_716,오염
TEST_717,몰딩수정
TEST_718,피스
TEST_719,훼손
TEST_720,꼬임
TEST_721,훼손
TEST_722,훼손
TEST_723,훼손
TEST_724,훼손
TEST_725,석고수정
TEST_726,터짐
TEST_727,훼손
TEST_728,오염
TEST_729,훼손
TEST_730,훼손
TEST_731,훼손
TEST_732,꼬임
TEST_733,훼손
TEST_734,면불량
TEST_735,훼손
TEST_736,오염
TEST_737,꼬임
TEST_738,오염
TEST_739,훼손
TEST_740,석고수정
TEST_741,오염
TEST_742,석고수정
TEST_743,걸레받이수정
TEST_744,오염
TEST_745,훼손
TEST_746,훼손
TEST_747,곰팡이
TEST_748,오염
TEST_749,오염
TEST_750,훼손
TEST_751,훼손
TEST_752,오염
TEST_753,터짐
TEST_754,터짐
TEST_755,오염
TEST_756,훼손
TEST_757,석고수정
TEST_758,오염
TEST_759,오염
TEST_760,오염
TEST_761,훼손
TEST_762,석고수정
TEST_763,오염
TEST_764,훼손
TEST_765,훼손
TEST_766,꼬임
TEST_767,오타공
TEST_768,오염
TEST_769,훼손
TEST_770,오염
TEST_771,훼손
TEST_772,오염
TEST_773,터짐
TEST_774,걸레받이수정
TEST_775,훼손
TEST_776,훼손
TEST_777,터짐
TEST_778,훼손
TEST_779,훼손
TEST_780,훼손
TEST_781,훼손
TEST_782,훼손
TEST_783,터짐
TEST_784,훼손
TEST_785,훼손
TEST_786,훼손
TEST_787,훼손
TEST_788,훼손
TEST_789,오염
TEST_790,오염
TEST_791,몰딩수정
